"Customer Name","Item Name","Stock Code","# Sold","Category","Supplier","Stock Level","Price","Cost","Profit","Margin","Markup","Discounts","Tax","Total","# Refunded","Total","Balance"
"","LOON CREAMY FROST BITE","8809987056","49","LOON MAX 2000 PUFF","GRANITE CITY","36.00","$588.51","$441.00","$139.64","23.73%","33.45%","$7.87","$40.67","$621.31","0.00","$0.00","$621.31"
"","LOON BLUE LIGHTENING","9027796291","9","LOON MAX 2000 PUFF","GLOBAL DIST","10.00","$89.91","$81.00","$7.41","8.24%","11.00%","$1.50","$6.19","$94.60","0.00","$0.00","$94.60"
"","LOON MAXX 2K PURPLE BLITZ","6746198864","9","LOON MAX 2000 PUFF","GLOBAL DIST","11.00","$104.91","$81.00","$22.67","21.61%","29.52%","$1.24","$7.26","$110.93","0.00","$0.00","$110.93"
"","LOON MAXX 2K PINEAPPLE","0195637057","10","LOON MAX 2000 PUFF","GLOBAL DIST","19.00","$122.90","$90.00","$32.90","26.77%","36.56%","$0.00","$8.61","$131.51","0.00","$0.00","$131.51"
"","LOON STRAWBERRY LEMONADE","8809987062","2","LOON MAX 2000 PUFF","GLOBAL DIST","18.00","$19.98","$18.00","$1.98","9.91%","11.00%","$0.00","$1.40","$21.38","0.00","$0.00","$21.38"
"","LOON GRAPE SLUSHY","9027796072","12","LOON MAX 2000 PUFF","GLOBAL DIST","20.00","$119.88","$105.00","$12.88","10.74%","14.17%","$2.00","$8.26","$126.14","0.00","$0.00","$126.14"
"","LOON GUM MINT","9027796194","13","LOON MAX 2000 PUFF","GLOBAL DIST","13.00","$129.87","$117.00","$10.87","8.37%","11.00%","$2.00","$8.96","$136.83","0.00","$0.00","$136.83"
"","WATERMELON FROSTBITE 6K","6746199284","21","LOON AIR 6K","GLOBAL DIST","14.00","$389.79","$252.00","$132.79","34.07%","54.68%","$5.00","$26.95","$411.74","0.00","$0.00","$411.74"
"","SUBZERO LOON AIR 6K","6746199280","18","LOON AIR 6K","GLOBAL DIST","22.00","$316.82","$216.00","$100.82","31.82%","46.68%","$0.00","$22.19","$339.01","0.00","$0.00","$339.01"
""," LOON AIR 6K THUNDER BERRY","6746199286","29","LOON AIR 6K","GLOBAL DIST","20.00","$495.71","$348.00","$140.39","28.32%","42.45%","$7.32","$34.20","$522.59","0.00","$0.00","$522.59"
"","LOON AIR 6K KRAZY","6746199270","1","LOON AIR 6K","GLOBAL DIST","19.00","$16.99","$12.00","$4.99","29.37%","41.58%","$0.00","$1.19","$18.18","0.00","$0.00","$18.18"
"","LOON AIR 6K GRAPE","6746199268","1","LOON AIR 6K","GLOBAL DIST","-1.00","$16.24","$12.00","$4.24","26.11%","35.33%","$0.00","$1.14","$17.38","0.00","$0.00","$17.38"
"","LOON AIR 6K BLRRRD","6746199262","8","LOON AIR 6K","GLOBAL DIST","18.00","$156.17","$96.00","$60.17","38.53%","62.68%","$0.00","$10.94","$167.11","0.00","$0.00","$167.11"
"","GWP 5.5" PHX104","2229900009","5","GLASS HAND PIPE","GLOBAL DIST","6.00","$79.95","$25.00","$54.95","68.73%","219.80%","$0.00","$5.60","$85.55","0.00","$0.00","$85.55"
"","GLASS PIPE #444015","9999992188","3","GLASS HAND PIPE","GLOBAL DIST","3.00","$92.97","$45.00","$46.45","49.96%","106.60%","$1.52","$6.40","$97.85","0.00","$0.00","$97.85"
"","GWP H 33318450","9999995894","3","GLASS HAND PIPE","GLOBAL DIST","4.00","$59.97","$21.00","$38.97","64.98%","185.57%","$0.00","$4.20","$64.17","0.00","$0.00","$64.17"
"","GWP H 33318466","9999970270","1","GLASS HAND PIPE","GLOBAL DIST","3.00","$20.99","$9.00","$11.09","52.83%","133.22%","$0.90","$1.41","$21.50","0.00","$0.00","$21.50"
"","GWP H 33318465","9999913420","2","GLASS HAND PIPE","GLOBAL DIST","3.00","$69.98","$32.00","$37.98","54.27%","118.69%","$0.00","$4.90","$74.88","0.00","$0.00","$74.88"
"","GWP H 444003","9999951452","2","GLASS HAND PIPE","GLOBAL DIST","3.00","$65.98","$30.00","$32.39","49.09%","119.93%","$3.59","$4.37","$66.76","0.00","$0.00","$66.76"
"","GWP H 314904","9999924837","4","GLASS HAND PIPE","GLOBAL DIST","0.00","$83.96","$36.00","$47.96","57.12%","133.22%","$0.00","$5.88","$89.84","0.00","$0.00","$89.84"
"","GWP H 444014","9999992399","1","GLASS HAND PIPE","GLOBAL DIST","3.00","$22.99","$11.00","$11.99","52.15%","109.00%","$0.00","$1.61","$24.60","0.00","$0.00","$24.60"
"","GWP H 444012","9999924321","1","GLASS HAND PIPE","GLOBAL DIST","1.00","$29.99","$13.00","$16.99","56.65%","130.69%","$0.00","$2.10","$32.09","0.00","$0.00","$32.09"
"","GWP H 444002","9999970103","3","GLASS HAND PIPE","GLOBAL DIST","2.00","$74.97","$29.85","$45.12","60.18%","151.16%","$0.00","$5.25","$80.22","0.00","$0.00","$80.22"
"","GWP H 444021","9999988524","2","GLASS HAND PIPE","GLOBAL DIST","9.00","$29.98","$10.00","$19.98","66.64%","199.80%","$0.00","$2.10","$32.08","0.00","$0.00","$32.08"
"","GWP H 312942","9999924167","1","GLASS HAND PIPE","GLOBAL DIST","1.00","$19.99","$7.00","$12.99","64.98%","185.57%","$0.00","$1.40","$21.39","0.00","$0.00","$21.39"
"","GWP H 312943","9999966417","2","GLASS HAND PIPE","GLOBAL DIST","5.00","$45.98","$16.00","$29.98","65.20%","187.37%","$0.00","$3.22","$49.20","0.00","$0.00","$49.20"
"","GWP H 444026","9999997149","1","GLASS HAND PIPE","GLOBAL DIST","1.00","$29.99","$13.00","$16.53","55.12%","130.69%","$0.46","$2.07","$31.60","0.00","$0.00","$31.60"
"","GWP H 312196","9999925015","3","GLASS HAND PIPE","GLOBAL DIST","3.00","$59.97","$16.50","$43.47","72.49%","263.45%","$0.00","$4.20","$64.17","0.00","$0.00","$64.17"
"","GWP H 311550","9999977475","1","GLASS HAND PIPE","GLOBAL DIST","8.00","$19.99","$8.00","$11.99","59.98%","149.87%","$0.00","$1.40","$21.39","0.00","$0.00","$21.39"
"","GWP H 314896","9999922620","1","GLASS HAND PIPE","GLOBAL DIST","1.00","$19.99","$6.00","$13.68","68.43%","233.17%","$0.31","$1.38","$21.06","0.00","$0.00","$21.06"
"","GWP H 316968","9999998439","6","GLASS HAND PIPE","GLOBAL DIST","7.00","$35.94","$12.00","$23.48","65.33%","199.50%","$0.46","$2.49","$37.97","0.00","$0.00","$37.97"
"","CHILLUM 33318457","3318400005","14","GLASS HAND PIPE","GLOBAL DIST","18.00","$137.36","$28.00","$109.36","79.62%","390.58%","$0.00","$9.62","$146.98","0.00","$0.00","$146.98"
"","CHILLUM 312579 ","9999979479","2","GLASS HAND PIPE","GLOBAL DIST","7.00","$17.99","$6.00","$11.99","66.64%","199.75%","$0.00","$1.26","$19.25","0.00","$0.00","$19.25"
"","CHILLUM 312587 ","9999949485","27","GLASS HAND PIPE","GLOBAL DIST","2.00","$252.25","$81.00","$169.61","67.24%","211.42%","$1.63","$17.53","$268.14","0.00","$0.00","$268.14"
"","CHILLUM 312585","9999950073","10","GLASS HAND PIPE","GLOBAL DIST","-1.00","$123.40","$40.00","$83.40","67.59%","208.51%","$0.00","$8.64","$132.04","0.00","$0.00","$132.04"
"","CHILLUM 33318442","9999996184","6","GLASS HAND PIPE","GLOBAL DIST","3.00","$59.94","$18.00","$41.94","69.97%","233.00%","$0.00","$4.20","$64.14","0.00","$0.00","$64.14"
"","CHILLUM 33318444 ","3318000004","5","GLASS HAND PIPE","GLOBAL DIST","5.00","$49.45","$15.00","$34.45","69.67%","229.70%","$0.00","$3.46","$52.91","0.00","$0.00","$52.91"
"","GWP H 312605","9999986264","1","GLASS HAND PIPE","GLOBAL DIST","6.00","$24.99","$11.00","$13.99","55.98%","127.18%","$0.00","$1.75","$26.74","0.00","$0.00","$26.74"
"","GWP H 311547","9999929524","1","GLASS HAND PIPE","GLOBAL DIST","13.00","$10.99","$4.00","$6.99","63.60%","174.75%","$0.00","$0.77","$11.76","0.00","$0.00","$11.76"
"","GWP H 444008","9999970231","1","GLASS HAND PIPE","GLOBAL DIST","5.00","$21.99","$7.00","$14.99","68.17%","214.14%","$0.00","$1.54","$23.53","0.00","$0.00","$23.53"
"","GWP H 311615","9999999524","2","GLASS HAND PIPE","GLOBAL DIST","9.00","$39.98","$17.00","$21.26","53.18%","135.18%","$1.72","$2.68","$40.94","0.00","$0.00","$40.94"
"","GWP H 311552","9999969046","2","GLASS HAND PIPE","GLOBAL DIST","4.00","$29.98","$12.00","$17.98","59.97%","149.83%","$0.00","$2.10","$32.08","0.00","$0.00","$32.08"
"","GWP H 33318453","9999956359","1","GLASS HAND PIPE","GLOBAL DIST","7.00","$19.99","$7.00","$12.99","64.98%","185.57%","$0.00","$1.40","$21.39","0.00","$0.00","$21.39"
"","GWP H 33328463","9999927816","4","GLASS HAND PIPE","GLOBAL DIST","2.00","$51.96","$20.00","$31.96","61.51%","159.80%","$0.00","$3.64","$55.60","0.00","$0.00","$55.60"
"","GWP H 33318458","9999922322","2","GLASS HAND PIPE","GLOBAL DIST","8.00","$25.98","$10.00","$15.98","61.51%","159.80%","$0.00","$1.82","$27.80","0.00","$0.00","$27.80"
"","GWP H 444029","9999944773","2","GLASS HAND PIPE","GLOBAL DIST","6.00","$29.98","$12.00","$17.98","59.97%","149.83%","$0.00","$2.10","$32.08","0.00","$0.00","$32.08"
"","CHILLUM 312940 WP-620","9999972967","3","GLASS HAND PIPE","GLOBAL DIST","0.00","$21.97","$6.00","$15.97","72.69%","266.21%","$0.00","$1.54","$23.51","0.00","$0.00","$23.51"
"","GWP H 312595","9999975676","1","GLASS HAND PIPE","GLOBAL DIST","9.00","$9.99","$3.00","$6.99","69.97%","233.00%","$0.00","$0.70","$10.69","0.00","$0.00","$10.69"
"","GWP H 312596","9999922005","1","GLASS HAND PIPE","GLOBAL DIST","8.00","$9.99","$3.00","$6.99","69.97%","233.00%","$0.00","$0.70","$10.69","0.00","$0.00","$10.69"
"","GWP H 312946","9999986952","1","GLASS HAND PIPE","GLOBAL DIST","5.00","$22.99","$8.00","$14.99","65.20%","187.37%","$0.00","$1.61","$24.60","0.00","$0.00","$24.60"
"","GWP H 444004","9999958308","4","GLASS HAND PIPE","GLOBAL DIST","5.00","$83.96","$32.00","$51.96","61.89%","162.37%","$0.00","$5.88","$89.84","0.00","$0.00","$89.84"
"","GWP H 444010","9999985395","8","GLASS HAND PIPE","GLOBAL DIST","3.00","$79.92","$24.00","$55.92","69.97%","233.00%","$0.00","$5.60","$85.52","0.00","$0.00","$85.52"
"","GWP H 444016","9999925450","3","GLASS HAND PIPE","GLOBAL DIST","6.00","$23.97","$7.50","$16.47","68.71%","219.60%","$0.00","$1.68","$25.65","0.00","$0.00","$25.65"
"","GWP H 444019","9999976466","4","GLASS HAND PIPE","GLOBAL DIST","2.00","$35.96","$12.00","$23.96","66.63%","199.67%","$0.00","$2.52","$38.48","0.00","$0.00","$38.48"
"","GWP H 33318467","9999927598","1","GLASS HAND PIPE","GLOBAL DIST","23.00","$7.99","$2.50","$5.49","68.71%","219.60%","$0.00","$0.56","$8.55","0.00","$0.00","$8.55"
"","PHOENIX GWP BONG PHX137","9999979586","1","GLASS BONG","GLOBAL DIST","2.00","$99.99","$36.00","$63.99","64.00%","177.75%","$0.00","$7.00","$106.99","0.00","$0.00","$106.99"
"","WAVE 8K PEACH ICE","1012040453","1","WAVE 8K","GLOBAL DIST","1.00","$9.99","$12.00","-$2.78","-27.83%","-16.75%","$0.77","$0.65","$9.87","0.00","$0.00","$9.87"
"","WAVE 8K LUSH ICE","1012040452","1","WAVE 8K","GLOBAL DIST","1.00","$12.99","$12.00","$0.99","7.62%","8.25%","$0.00","$0.91","$13.90","0.00","$0.00","$13.90"
"","WAVE 8K RAINBOW SNOW  CONE","1012040490","1","WAVE 8K","GLOBAL DIST","2.00","$9.99","$12.00","-$2.01","-20.12%","-16.75%","$0.00","$0.70","$10.69","0.00","$0.00","$10.69"
"","WAVE 8K STRAWBERRY BANANA","1012040627","3","WAVE 8K","GLOBAL DIST","4.00","$25.99","$36.00","-$10.01","-38.51%","-27.81%","$0.00","$1.82","$27.81","0.00","$0.00","$27.81"
"","WAVE 8K STRAWBERRY ICE","1012040456","3","WAVE 8K","GLOBAL DIST","0.00","$32.22","$36.00","-$3.78","-11.73%","-10.50%","$0.00","$2.26","$34.48","0.00","$0.00","$34.48"
"","WAVE 8K WHITE GUMMY","1012040448","2","WAVE 8K","GLOBAL DIST","0.00","$19.23","$24.00","-$5.54","-28.81%","-19.88%","$0.77","$1.30","$19.76","0.00","$0.00","$19.76"
"","GEEKBAR PULSE 7.5K MEXICO MANGO","1012543464","117","GEEKBAR PULSE 7.5K","GLOBAL DIST","23.00","$1367.40","$1007.00","$343.47","25.12%","35.79%","$16.92","$94.57","$1445.04","0.00","$0.00","$1445.04"
"","GEEKBAR PULSE 7.5K MIAMI MINT","1012543594","277","GEEKBAR PULSE 7.5K","MIDWEST","48.00","$2937.40","$2270.40","$644.30","21.93%","29.38%","$22.70","$204.05","$3212.75","10.00","$100.58","$3112.17"
"","GEEKBAR PULSE 7.5K PINK LEMONADE","1012543488","94","GEEKBAR PULSE 7.5K","GLOBAL DIST","48.00","$1233.68","$793.00","$426.77","34.59%","55.57%","$13.91","$85.44","$1305.21","0.00","$0.00","$1305.21"
"","LOON ZERO NIC LUSH","8809986989","2","loon zero nic","GRANITE CITY","8.00","$23.98","$18.00","$5.98","24.94%","33.22%","$0.00","$1.68","$25.66","0.00","$0.00","$25.66"
"","LOON ZERO NIC FROZEN GRAPE","8809987018","2","loon zero nic","GRANITE CITY","8.00","$23.98","$18.00","$5.98","24.94%","33.22%","$0.00","$1.68","$25.66","0.00","$0.00","$25.66"
"","LOON ZERO NIC CREAMY FROST BITE","6746198866","6","loon zero nic","GRANITE CITY","4.00","$79.94","$48.00","$31.94","39.95%","66.54%","$0.00","$5.60","$85.54","0.00","$0.00","$85.54"
"","LOON ZERO NIC GUM MINT","8809987010","2","loon zero nic","GRANITE CITY","8.00","$22.98","$16.00","$6.98","30.37%","43.62%","$0.00","$1.61","$24.59","0.00","$0.00","$24.59"
"","LOON ZERO NIC BLUE LIGHTENING","8809986991","3","loon zero nic","GRANITE CITY","-3.00","$37.97","$24.00","$13.97","36.79%","58.21%","$0.00","$2.66","$40.63","0.00","$0.00","$40.63"
"","LOON ZERO NIC PINK","8809987054","1","loon zero nic","GRANITE CITY","8.00","$11.99","$8.00","$3.99","33.28%","49.87%","$0.00","$0.84","$12.83","0.00","$0.00","$12.83"
"","LOON ZERO NIC BANANA TAFFY","6746198890","4","loon zero nic","GRANITE CITY","6.00","$50.96","$32.00","$18.96","37.21%","59.25%","$0.00","$3.57","$54.53","0.00","$0.00","$54.53"
"","LOON ZERO NIC BLUE RAZZ SLUSHY","8809987038","11","loon zero nic","GRANITE CITY","18.00","$142.89","$88.00","$54.89","38.41%","62.37%","$0.00","$10.01","$152.90","0.00","$0.00","$152.90"
"","CHILLUM 316972","9999927094","7","GLASS ACC","GLOBAL DIST","8.00","$62.44","$17.50","$44.94","71.97%","256.79%","$0.00","$4.36","$66.80","0.00","$0.00","$66.80"
"","CHILLUM 316970","3100000697","4","GLASS HAND PIPE","GLOBAL DIST","9.00","$39.96","$12.00","$27.96","69.97%","233.00%","$0.00","$2.80","$42.76","0.00","$0.00","$42.76"
"","GWP 33318454","9999956173","2","GLASS HAND PIPE","GLOBAL DIST","8.00","$43.98","$16.00","$27.98","63.62%","174.87%","$0.00","$3.08","$47.06","0.00","$0.00","$47.06"
"","GWP 308627","9999991842","2","GLASS HAND PIPE","GLOBAL DIST","8.00","$29.98","$12.00","$17.98","59.97%","149.83%","$0.00","$2.10","$32.08","0.00","$0.00","$32.08"
"","GWP WOOD RP107","8163574107","2","GLASS HAND PIPE","GLOBAL DIST","1.00","$43.98","$16.00","$25.98","59.07%","174.87%","$2.00","$2.94","$44.92","0.00","$0.00","$44.92"
"","PLAYBOY LOADED SERISE GR-SUS-PB","2719042049","1","GLASS HAND PIPE","GLOBAL DIST","1.00","$119.99","$45.00","$74.99","62.50%","166.64%","$0.00","$8.40","$128.39","0.00","$0.00","$128.39"
"","GWP BONG 311655","9999916107","1","GLASS BONG","GLOBAL DIST","2.00","$99.99","$40.00","$59.06","59.07%","149.97%","$0.93","$6.93","$105.99","0.00","$0.00","$105.99"
"","GWP BONG RC-20","9999964757","1","GLASS BONG","GLOBAL DIST","1.00","$149.99","$60.00","$89.99","60.00%","149.98%","$0.00","$10.50","$160.49","0.00","$0.00","$160.49"
"","GWP BONG WP BK-14 314854","9999968458","1","GLASS BONG","GLOBAL DIST","1.00","$59.99","$22.00","$25.99","43.32%","172.68%","$12.00","$3.36","$51.35","0.00","$0.00","$51.35"
"","GWP 315540 WP BK-16","9999995068","1","GLASS BONG","GLOBAL DIST","2.00","$69.99","$21.00","$48.99","70.00%","233.29%","$0.00","$4.90","$74.89","0.00","$0.00","$74.89"
"","GWP BONG HD 310149","9999941213","1","GLASS BONG","GLOBAL DIST","3.00","$99.99","$45.00","$54.99","55.00%","122.20%","$0.00","$7.00","$106.99","0.00","$0.00","$106.99"
"","GWP BONG 314852 BK-10","9999926780","2","GLASS HAND PIPE","GLOBAL DIST","0.00","$119.98","$41.00","$78.98","65.83%","192.63%","$0.00","$8.40","$128.38","0.00","$0.00","$128.38"
"","GWP BONG 314858 SS-13","9999953292","3","GLASS BONG","GLOBAL DIST","0.00","$209.97","$66.00","$129.97","61.90%","218.14%","$14.00","$13.72","$209.69","0.00","$0.00","$209.69"
"","BIG MOM GWP BONG BOG-001","9999931572","3","GLASS BONG","GLOBAL DIST","0.00","$239.97","$105.00","$118.97","49.58%","128.54%","$16.00","$15.68","$239.65","0.00","$0.00","$239.65"
"","BIG MOM GWP BONG BOG-003","9999943764","1","GLASS BONG","GLOBAL DIST","1.00","$139.99","$50.00","$89.99","64.28%","179.98%","$0.00","$9.80","$149.79","0.00","$0.00","$149.79"
"","KP GWP BONG WP-2628","9999914748","1","GLASS BONG","GLOBAL DIST","3.00","$94.99","$33.00","$61.99","65.26%","187.85%","$0.00","$6.65","$101.64","0.00","$0.00","$101.64"
"","GWP BONG GLC-002","9999967758","1","GLASS BONG","GLOBAL DIST","2.00","$69.99","$31.00","$38.99","55.71%","125.77%","$0.00","$4.90","$74.89","0.00","$0.00","$74.89"
"","GWP BONG GQB-086","9999912848","1","GLASS BONG","GLOBAL DIST","2.00","$79.99","$30.00","$49.99","62.50%","166.63%","$0.00","$5.60","$85.59","0.00","$0.00","$85.59"
"","AK-47 GWP BONG WP KP-46 ","9999913912","2","GLASS BONG","GLOBAL DIST","1.00","$399.98","$130.00","$234.42","58.61%","207.68%","$35.56","$25.51","$389.93","0.00","$0.00","$389.93"
"","GWP BONG 316969 WP BP-1249","9999954715","1","GLASS BONG","GLOBAL DIST","1.00","$54.99","$25.00","$29.99","54.54%","119.96%","$0.00","$3.85","$58.84","0.00","$0.00","$58.84"
"","BIIGO GWP BONG GTG-08","9999969444","1","GLASS BONG","GLOBAL DIST","1.00","$79.99","$25.00","$54.99","68.75%","219.96%","$0.00","$5.60","$85.59","0.00","$0.00","$85.59"
"","KP GWP BONG WP-2856-2","9999961578","1","GLASS BONG","GLOBAL DIST","1.00","$79.99","$30.00","$49.99","62.50%","166.63%","$0.00","$5.60","$85.59","0.00","$0.00","$85.59"
"","LOOKAH GWP BONG C338","9999950307","1","GLASS BONG","GLOBAL DIST","2.00","$179.99","$69.00","$77.81","43.23%","160.86%","$33.18","$10.28","$157.09","0.00","$0.00","$157.09"
"","CHILLUM 444020","9999979977","1","GLASS HAND PIPE","GLOBAL DIST","14.00","$13.99","$4.00","$8.82","63.05%","249.75%","$1.17","$0.90","$13.72","0.00","$0.00","$13.72"
"","GLASS RECLAIMER","9999985884","3","GLASS BONG","GLOBAL DIST","7.00","$26.97","$6.00","$20.97","77.75%","349.50%","$0.00","$1.89","$28.86","0.00","$0.00","$28.86"
"","KING PLUTO CHILLUM 317718","9999923718","34","GLASS BONG","GLOBAL DIST","60.00","$203.66","$20.40","$181.45","89.09%","898.33%","$1.81","$14.15","$216.00","0.00","$0.00","$216.00"
"","GWP BONG WP200","9999926203","2","GLASS BONG","GLOBAL DIST","1.00","$139.98","$50.00","$87.33","62.39%","179.96%","$2.65","$9.61","$146.94","0.00","$0.00","$146.94"
"","TATAOO GWP BONG C340","9999979714","1","GLASS BONG","GLOBAL DIST","1.00","$184.99","$72.50","$112.49","60.81%","155.16%","$0.00","$12.95","$197.94","0.00","$0.00","$197.94"
